Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Country,City,State,Product ID,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2,Month,Year,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Segment_Corporate,Segment_Home Office,Predicted_Sales
4918,CA-2019-160304,2019-01-01,07-01-2019,Standard Class,BM-11575,Brendan Murry,United States,Gaithersburg,Maryland,FUR-BO-10004709,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,,Online,,,1,2019,True,False,False,False,False,True,False,107.37829999999997
4919,CA-2019-160304,2019-01-02,07-01-2019,Standard Class,BM-11575,Brendan Murry,United States,Gaithersburg,Maryland,FUR-BO-10004709,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,,Online,,,1,2019,True,False,False,False,False,True,False,205.9919199999999
4920,CA-2019-160304,2019-01-02,07-01-2019,Standard Class,BM-11575,Brendan Murry,United States,Gaithersburg,Maryland,TEC-PH-10000455,Phones,GE 30522EE2,231.98,2,67.2742,,Cards,,,1,2019,True,False,False,False,True,True,False,301.75929999999977
3074,CA-2019-125206,2019-01-03,05-01-2019,First Class,LR-16915,Lena Radford,United States,Los Angeles,California,OFF-ST-10003692,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,28.615,,Online,,,1,2019,False,False,True,True,False,False,False,260.93569999999977
8604,US-2019-116365,2019-01-03,08-01-2019,Standard Class,CA-12310,Christine Abelman,United States,San Antonio,Texas,TEC-AC-10002217,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,-5.264,,Online,,,1,2019,False,False,False,False,True,True,False,115.72257999999998
8605,US-2019-116365,2019-01-03,08-01-2019,Standard Class,CA-12310,Christine Abelman,United States,San Antonio,Texas,TEC-AC-10002942,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,-6.21,,Online,,,1,2019,False,False,False,False,True,True,False,151.90081000000018
8606,US-2019-116365,2019-01-03,08-01-2019,Standard Class,CA-12310,Christine Abelman,United States,San Antonio,Texas,TEC-PH-10002890,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.572,,Cards,,,1,2019,False,False,False,False,True,True,False,158.99451999999974
9494,CA-2019-105207,2019-01-03,08-01-2019,Standard Class,BO-11350,Bill Overfelt,United States,Broken Arrow,Oklahoma,FUR-TA-10000617,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,350.427,,COD,,,1,2019,False,False,False,False,False,True,False,1602.2469800000024
9495,CA-2019-105207,2019-01-03,08-01-2019,Standard Class,BO-11350,Bill Overfelt,United States,Broken Arrow,Oklahoma,OFF-BI-10004364,Binders,Storex Dura Pro Binders,11.88,2,5.346,,COD,,,1,2019,False,False,False,True,False,True,False,90.97484
2898,US-2019-164630,2019-01-04,09-01-2019,Standard Class,EB-13975,Erica Bern,United States,Charlotte,North Carolina,TEC-CO-10000971,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,119.996,,Online,,,1,2019,False,True,False,False,True,True,False,1042.5742799999985
